timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
19516000,19516000,29.660324858423525,-82.31664747108574,30.117107,30.087988,0.0,1.1204616,1.1146812,nan,1,0,0,0
19716000,19716000,29.66032484658842,-82.31664748111552,30.21134,30.179647,0.0,1.1087719,1.1118964,nan,1,0,0,0
19916000,19916000,29.660324834069325,-82.31664748540327,30.311527,30.279835,0.0,1.1202683,1.1139653,nan,1,0,0,0
20116000,20116000,29.66032479188569,-82.31664750450226,30.419384,30.385466,0.0,1.1087126,1.1112483,nan,1,0,0,0
20308000,20308000,29.66032475183177,-82.31664753258367,30.529816,30.495897,0.0,1.1194689,1.1128283,nan,1,0,0,0
20516000,20516000,29.660324712782902,-82.31664756293947,30.660648,30.623869,0.0,1.1086417,1.1106615,nan,1,0,0,0
20716000,20716000,29.660324685366884,-82.31664759218808,30.792427,30.755648,0.0,1.1199079,1.1126319,nan,1,0,0,0
20916000,20916000,29.660324631278698,-82.31664757997451,30.92614,30.886559,0.0,1.1085637,1.1101629,nan,1,0,0,0
21108000,21108000,29.660324590293307,-82.31664756052274,31.060747,31.021166,0.0,1.1191416,1.1116675,nan,1,0,0,0
21316000,21316000,29.660324551446436,-82.31664752447162,31.215025,31.173006,0.0,1.1084809,1.1096587,nan,1,0,0,0
21516000,21516000,29.660324548275703,-82.31664749911509,31.369898,31.327879,0.0,1.1196053,1.1115447,nan,1,0,0,0
21716000,21716000,29.660324535128364,-82.31664749302875,31.530264,31.485415,0.0,1.1083994,1.1091803,nan,1,0,0,0
21916000,21916000,29.660324537774198,-82.31664750646333,31.693794,31.648945,0.0,1.1192577,1.1109592,nan,1,0,0,0
22108000,22108000,29.660324559022392,-82.31664746606346,31.855793,31.808012,0.0,1.1079265,1.1101747,nan,1,0,0,0
22316000,22316000,29.66032459153748,-82.31664741582713,32.033432,31.985651,0.0,1.1187254,1.1123188,nan,1,0,0,0
22508000,22508000,29.660324609538236,-82.31664733666922,32.20285,32.15203,0.0,1.1077253,1.1095519,nan,1,0,0,0
22716000,22716000,29.66032462036244,-82.31664725308457,32.38755,32.33673,0.0,1.1184973,1.1116365,nan,1,0,0,0
22916000,22916000,29.660324613995225,-82.31664724297137,32.566074,32.512703,0.0,1.1078995,1.1092578,nan,1,0,0,0
